"","G1","G2M","S"
"Mcm7",1,1,9.39803871871955e-172
"Claspin",1,1,3.90314896462232e-237
"PCNA",1,1,3.96993983791673e-51
"dap",1,0.596575600339713,4.67596949733715e-18
"RfC4",1,1,3.59184274701822e-22
"Mcm6",1,1,3.81693098449128e-125
"CG15141",1,0.0383610621290368,0.0121708564145697
"DNApol-alpha50",1,1,1.92357111353416e-194
"dpa",1,1,4.37633288783241e-190
"geminin",1,0.207131246585699,8.08299049680217e-09
"CG8223",1,0.614982634940185,2.78919760990292e-06
"spn-A",1,0.118934803886386,1
"l(2)dtl",1,1,5.94749968095062e-51
"DNApol-alpha180",1,1,1.20257171705832e-55
"CG11788",1,1,2.2765901186859e-67
"Ts",1,1,0
"Psf2",1,0.00393486721815314,1
"RnrS",1,1,1.91751702000519e-192
"spel1",1,1,8.08299049680217e-09
"FLASH",1,1,0.16662043926867
"CycA",1,0.51663619152864,1.57393585777868e-05
"CycD",1,0.00617173942481266,1
"CycE",1,1,2.18252279795122e-169
"Caf1-105",1,1,5.83097636811068e-58
"tos",1,1,5.61565405742653e-19
"Cdc6",1,1,1.41878847983234e-29
"Fen1",1,1,8.83920422160807e-33
"Mcm5",1,1,1.62894495274753e-208
"Blm",1,0.654850885020284,0.29101932368081
"CG10336",1,1,1.04520933631657e-193
"Mcm2",1,1,7.17024733332869e-192
"RnrL",1,1,2.48270489244906e-217
"Slbp",1,1,4.76927726452435e-69
"ct",1,0.0123954908027133,1
"jumu",1,2.49019812488891e-27,1
"msps",1,1.82643931883374e-35,1
"BubR1",1,2.34351701236584e-10,1
"pav",1,1.56347758970135e-64,1
"nod",1,4.0620324096165e-23,1
"fzy",1,5.3468035687947e-31,1
"betaTub56D",1,1,1
"cana",1,6.20342797243594e-06,1
"Klp10A",1,3.67039309748388e-46,1
"pie",1,0.0256245033256496,1
"pbl",1,8.40850243171119e-38,1
"Cks85A",1,1.02459700535596e-30,1
"Cap-D2",1,4.45104629987334e-17,1
"aurA",1,3.77423403644538e-54,1
"scra",1,1.90533784538193e-56,1
"CG30183",1,1.57082232837058e-09,1
"Bub1",1,7.7754486278935e-05,1
"Mapmodulin",1,1,1
"glu",1,1.29475905444418e-08,3.65826734004445e-06
"Diap2",1,1.12900405393929e-06,1
"cmet",1,2.90889941913094e-18,1
"mars",1,3.51904134007527e-33,1
"msb1l",1,7.06296240646814e-23,0.00146634703320322
"RanGAP",1,1.38710258789624e-20,0.00283305551644669
"vih",1,1.26038870173971e-27,1
"Phf7",1,1,6.52541054830003e-139
"Klp61F",1,1.12789636869936e-54,1
"Cdk1",1,2.64422820738851e-11,0.0410346027749915
"E(spl)m7-HLH",0.0528764983391784,0.492451722441124,1
"E(spl)m8-HLH",0.719999386221923,0.123977423691085,1
"E(spl)mgamma-HLH",1,0.596575600339713,0.596575600339713
"E(spl)m4-BFM",4.80458243520769e-05,1,1
"aPKC",1,1,1
"baz",0.391211055849244,0.0069342147776559,1
"dgo",1,1,1
"dsh",1,0.0188181763055619,1
"ft",0.94052790259139,0.0110492684799475,1
"fj",8.66863235785145e-06,1,1
"msn",0.146423743704305,0.00225775171270302,1
"Vang",1,2.03288057090999e-07,1
"DAAM",0.0528764983391784,1,1
"ds",1,0.000540026308871995,1
"fz",1,0.000120723854320383,1
"fy",1,0.00305980739418732,1
"pk",1,1,1
"Rho1",1,1,1
"Rok",1,0.0484727382051341,1
"Rab23",1,1,1
"stan",1,1,1
"par-6",0.146423743704305,0.100837757629596,1
"nmo",1,0.0123954908027133,1
"mys",0.0640552323715277,0.186877637628898,1
